question,document
Can I still join the course if I just found out about it?,74eb249bbf
Is it too late to start this course now?,74eb249bbf
Do I need to do anything special if I want a certificate after joining late?,74eb249bbf
"If I join the course late, can I still get a certificate?",74eb249bbf
What’s the deadline for submitting the project if I want the certificate?,74eb249bbf
"I registered for LLM Zoomcamp, but I never got a confirmation email — am I still in, or do I need to wait for one?",977bf7786c
Do I actually need to register before starting the LLM Zoomcamp lectures and homework?,977bf7786c
"If I didn't sign up yet, can I still begin the course and submit assignments while the form is open?",977bf7786c
Is there some list of registered students that the homework gets checked against?,977bf7786c
What’s the point of the registration form if it doesn’t affect access to the course?,977bf7786c
How do I watch the office hours or live workshop sessions if I’m not given the Zoom link?,489dd1c9d9
Where is the stream link for live sessions usually announced before they start?,489dd1c9d9
"If students can’t join the Zoom meeting, what’s the normal way to take part in office hours?",489dd1c9d9
"Can I watch the workshop live on YouTube instead of Zoom, and where do I find it?",489dd1c9d9
Where should I send my questions during the live session so they don’t get missed in chat?,489dd1c9d9
Where do I begin if I want to start this course and not miss anything important?,04919992b3
What’s the usual weekly routine for the LLM Zoomcamp lessons and homework?,04919992b3
"Do I have to wait for a specific start date, or can I join and work through it anytime?",04919992b3
"After watching the videos, what should I do next before submitting homework?",04919992b3
Where are the deadlines and homework submissions handled for this course?,04919992b3
How do I find my own entry on the leaderboard if I can't see my name right away?,c2903069a0
Why does the leaderboard show a random name for me instead of my real name?,c2903069a0
Where can I check what display name I'm currently using in the course?,c2903069a0
"If I want a different nickname on the leaderboard, how do I change it?",c2903069a0
"What name ends up on the certificate, and how do I replace the default one?",c2903069a0
Can I take the course on my own time and still get the certificate?,69d122f12e
Is there any way to get a certificate if I don't join a live cohort?,69d122f12e
Why isn't a certificate available for the self-paced version of the course?,69d122f12e
Do I have to peer review other students' capstone projects to qualify for the certificate?,69d122f12e
What happens if I finish the course after the project submission form is already closed?,69d122f12e
Can I still get the certificate if I skipped the first homework?,9f689c185f
"Is homework required to earn the course certificate, or is the capstone enough?",9f689c185f
Do I have to do every homework assignment to pass and get certified?,9f689c185f
"If homework isn't mandatory, what do I actually need to complete for the certificate?",9f689c185f
"Does missing homework affect the certificate, or only my leaderboard score?",9f689c185f
Why does the homework keep changing sometimes?,96286b4be4
What does [DRAFT] mean in the homework title?,96286b4be4
When can I assume the homework is actually final and ready?,96286b4be4
Can the assignment still change even if it already looks posted somewhere?,96286b4be4
Is it safe to start doing a homework that still has [DRAFT] in the title?,96286b4be4
When is llm-zoomcamp going to be offered again?,bd31146b0e
Do you know the next time this course starts?,bd31146b0e
Is there a planned run of the course in summer 2027?,bd31146b0e
When can I expect this course to be available next?,bd31146b0e
What’s the next offering date for llm-zoomcamp?,bd31146b0e
Where do I actually find the course lectures or videos?,31456f4b5f
Is there a main page or repo I should open first for the lessons?,31456f4b5f
How do I get to the videos for each lesson in this course?,31456f4b5f
Should I use GitHub or YouTube to follow the course materials?,31456f4b5f
"On the lesson pages, where are the lecture links usually placed?",31456f4b5f
Where do I see the LLM Zoomcamp syllabus and current cohort structure?,20c5a1347e
"Is there one place to check homework, deadlines, and my course progress?",20c5a1347e
What platform should I use to follow LLM Zoomcamp updates and track what’s due?,20c5a1347e
How do I keep track of the course schedule and my progress in LLM Zoomcamp?,20c5a1347e
Where is the official LLM Zoomcamp management site for assignments and deadlines?,20c5a1347e
"Do we get live sessions or office hours for every module in this course, or is everything just pre-recorded?",d65e05bd7a
"If I get stuck on a module, where should I ask for help instead of waiting for a live class?",d65e05bd7a
"Are there any official live meetups announced during the course, or are they only occasional?",d65e05bd7a
Is there some extra paid option that includes regular Zoom office hours for more support?,d65e05bd7a
Can you explain how the free course content compares with the optional community support?,d65e05bd7a
Can I count my Bluesky posts toward the learning in public credits?,dbf5369006
Is Bluesky accepted as a place to earn learning in public credits for this course?,dbf5369006
Do posts I make on Bluesky qualify for the learning in public credit requirement?,dbf5369006
Will my Bluesky updates be recognized as learning in public credits?,dbf5369006
Can I use content I post on Bluesky to get learning in public credits?,dbf5369006
Where can I find the LLM Zoomcamp Telegram channel link?,054f3fd58f
Is there a Telegram group for LLM Zoomcamp announcements?,054f3fd58f
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f
Can you share the LLM Zoomcamp Telegram URL?,054f3fd58f
"Where should I go for LLM Zoomcamp announcements, and where should I ask technical questions?",054f3fd58f
Why does my FAQ dataset have a different number of rows than the videos show?,e2d595f23c
Is it normal for the FAQ data count to change when I run the course code now?,e2d595f23c
Why don't I get the same number of records from the FAQ dataset as in the lecture?,e2d595f23c
Did the FAQ dataset get updated after the videos were recorded?,e2d595f23c
How come the FAQ dataset size is different from what the tutorial shows?,e2d595f23c
"If the homework form is still open after the deadline, does that mean I can still turn it in?",a9353fadfe
When exactly do homework submissions stop being accepted — is it the deadline or when the form closes?,a9353fadfe
"I missed the deadline but the submission page is open, should I still submit my answers?",a9353fadfe
Can I submit late homework as long as the form hasn't been closed yet?,a9353fadfe
"The deadline passed already, but the form still works — is it okay to send my homework now?",a9353fadfe
Can I still turn in homework after the deadline if the submission form hasn’t closed yet?,cdc3b285e5
Do you ever give extra time or individual deadline extensions for homework?,cdc3b285e5
What happens if I miss a homework deadline — can I submit late or not at all?,cdc3b285e5
"Will skipping a homework affect my certificate, or is only the Capstone required?",cdc3b285e5
"Do homework points matter for the certificate, or are they only used for leaderboard ranking?",cdc3b285e5
Does the name I enter for the certificate get shown on the public leaderboard or anywhere online?,651ba06b34
"Is my certificate name shared with anyone else, or is it only used on the certificate itself?",651ba06b34
What’s the difference between the display name on the leaderboard and the name printed on the certificate?,651ba06b34
Can I keep my real name private on the course leaderboard but still have it on the certificate?,651ba06b34
Where do I change the public nickname and the certificate name in my course profile?,651ba06b34
Why doesn't this course use LangChain from the start?,b7cdde6b25
"What’s the reason we build prompting, retrieval, indexing, and evaluation by hand instead of using a framework?",b7cdde6b25
"Is LangChain bad, or is there another reason it’s skipped in this module?",b7cdde6b25
Should I learn the basic LLM app pieces before moving to tools like LangChain?,b7cdde6b25
Why is the course more focused on understanding the core parts than on using a framework?,b7cdde6b25
Why am I getting an OpenAI API error about insufficient credits when I run `responses.create`?,f5df151c59
What does the `OpenAI API Error: Insufficient credits` message mean in the OpenAI `responses.create` command?,f5df151c59
Could low account credits be the reason my `responses.create` call fails with an OpenAI error?,f5df151c59
How do I fix the error I see when `responses.create` says I have insufficient credits?,f5df151c59
Is there a known issue with OpenAI `responses.create` returning an insufficient credits error?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
"Does OpenAI API have any free quota, or do I need to add money before using it?",152af39a53
What should I do in my account to fix an insufficient_quota error?,152af39a53
Could the model name I pass to responses.create be causing the 429 error?,152af39a53
"After I add billing credits, do I need to create a new API key or can I keep the old one?",152af39a53
How much money do I need to put in to start using the OpenAI API for this course?,554d0eb78b
Is it true that the OpenAI API usage for the class is basically very cheap?,554d0eb78b
What’s the minimum recharge amount for the OpenAI API account?,554d0eb78b
"Will I end up spending a lot on API calls in the course, or is it just a few cents?",554d0eb78b
How much should I expect to pay when using OpenAI API for the course exercises?,554d0eb78b
Do I need to subscribe and pay for the OpenAI API to finish the llm-zoomcamp homework?,85384a18e5
Can I complete the course without using a paid OpenAI account?,85384a18e5
Are there free or low-cost alternatives to OpenAI API for this course?,85384a18e5
Where can I find the list of OpenAI API alternatives for llm-zoomcamp?,85384a18e5
Is paying for OpenAI required for the Module 1 RAG assignments?,85384a18e5
Why does the course recommend uv over pip and virtualenv for setting things up?,f81dea8f7e
What’s the main reason to use uv instead of a bunch of separate Python tools?,f81dea8f7e
"Do I have to use uv in the course, or can I stick with pip and virtualenv?",f81dea8f7e
What does uv replace in a typical Python workflow?,f81dea8f7e
"Why is uv considered a better fit for managing Python versions, envs, and dependencies in the lessons?",f81dea8f7e
Why is my OPENAI_API_KEY missing in Jupyter even though I set it in a .env file?,86d99bbf21
Do I need python-dotenv for the notebook to see OPENAI_API_KEY?,86d99bbf21
Where should I call load_dotenv() before creating the OpenAI client?,86d99bbf21
How can I make sure the API key name in .env is correct for the notebook?,86d99bbf21
What’s the fix when OpenAI auth works in terminal but not inside Jupyter?,86d99bbf21
How do I keep my API keys in a .env file and read them in Python?,233dabe430
What’s the easiest way to load OPENAI_API_KEY and other secret keys from .env?,233dabe430
Do I need to install something to use dotenv for API keys in this course?,233dabe430
How should I add .env to git so my keys don’t get pushed by accident?,233dabe430
Can you show a simple example of loading keys like GROQ_API_KEY with python-dotenv?,233dabe430
"Can I do the homework with a different LLM provider than the one suggested, or do I have to stick to the recommended model?",ee43413718
"Is OpenAI the only option for the RAG assignment, or can I also use things like Gemini, Groq, or OpenRouter?",ee43413718
"Do I need to pay for a model to finish the homework, or is there a way to do it without a paid API?",ee43413718
"If I switch to a local model or another provider, what parts of the code usually need changes?",ee43413718
Where can I find a list of OpenAI alternatives that are okay to use for this course?,ee43413718
How can I set up Gemini in the Module 1 notebook if I want to use the OpenAI-style endpoint instead of the usual OpenAI API?,0ae5c221b9
What do I need in my `.env` file and client setup to call Google Gemini from the course notebook?,0ae5c221b9
How do I write the `llm` helper for Gemini using `chat.completions.create` with an OpenAI-compatible URL?,0ae5c221b9
Which parts of the notebook usually need to be changed when switching from the Responses API to Gemini chat completions?,0ae5c221b9
What model name should I pass when I’m testing Gemini through the OpenAI-compatible interface in the RAG notebook?,0ae5c221b9
How do I get Gemini to return Pydantic objects through the OpenAI-compatible API if `responses.parse` isn’t supported?,341f71f28c
What’s the easiest way to use structured output with Gemini while still staying on the OpenAI SDK?,341f71f28c
"Can I use `chat.completions.parse` with Gemini on the Google OpenAI-style endpoint, and how would that work?",341f71f28c
How do I define a schema so Gemini gives me a parsed list of FAQ questions and answers?,341f71f28c
What should I call instead of the Responses API when I want `result.questions` as a Pydantic object from Gemini?,341f71f28c
"How do I install Ollama on my laptop, like on macOS, Windows, or Linux?",1d0b969028
What’s the quickest way to get Ollama set up and running locally for the first time?,1d0b969028
"After installing Ollama, what command should I run to start using Llama 3 in the terminal?",1d0b969028
How can I check if the Ollama server is actually running on my machine?,1d0b969028
"Once Ollama is installed, how do I use it from Python with the ollama package?",1d0b969028
Why am I getting a connection refused error when I prompt my Ollama RAG notebook?,c6fc2d4d11
How do I fix Ollama connection refused during the homework?,c6fc2d4d11
Do I need to restart the Ollama server if prompting fails in the RAG exercise?,c6fc2d4d11
What command should I run to bring Ollama back up in the notebook?,c6fc2d4d11
"If I stop the cell that starts Ollama, what should I do before running prompts again?",c6fc2d4d11
Why do I get a different token count from tiktoken than what OpenAI shows in the API?,bf0403d21b
Is it normal for chat completions to add a few extra tokens beyond my prompt text?,bf0403d21b
What causes OpenAI to report more tokens than the words I can actually see?,bf0403d21b
Why does a `chat.completions.create()` request seem to use more tokens than `tiktoken.encode()` counts?,bf0403d21b
"Could whitespace, newlines, or weird Unicode be making my OpenAI token count higher?",bf0403d21b
"How can I make my API key load automatically when I enter a project folder, instead of exporting it in every new terminal?",8b2f5e9d04
Is there a way to handle both .env and .envrc files across different shells without relying on direnv only?,8b2f5e9d04
What should I install and put in my shell config so the env file gets picked up on cd?,8b2f5e9d04
"For a Python script, how do I read the variables from a .env file in the project root?",8b2f5e9d04
"If I'm using GitHub Codespaces, what's the recommended way to store secrets instead of keeping them in the repo?",8b2f5e9d04
What's the best way to set field weights in minsearch or a similar search engine?,87d4ea4e08
"Should I just guess the weights for different fields, or is there a proper way to tune them?",87d4ea4e08
How do I test different weighting values and know which one is actually better?,87d4ea4e08
"For a small RAG project, is trial and error enough for field weights, or do I need evaluation data?",87d4ea4e08
What metrics should I use to compare different field-weight settings in search?,87d4ea4e08
What should I clean up in my documents before using them for RAG?,649c280e6d
"Do I need to keep things like titles, section names, and page numbers when preparing data for retrieval?",649c280e6d
"Is JSON required for storing documents in a RAG pipeline, or can I use another format?",649c280e6d
How should I split documents so the chunks still make sense for retrieval?,649c280e6d
What kind of extra metadata is useful to keep when getting documents ready for RAG?,649c280e6d
"Is the ""Failed to hardlink files"" message from uv in Codespaces something I should worry about?",acf8fa5356
Why does uv show a hardlink warning in GitHub Codespaces even though installation still works?,acf8fa5356
How can I stop uv from trying to hardlink files and use copying instead in my shell?,acf8fa5356
What do I need to add to bashrc so uv always uses copy mode in Codespaces?,acf8fa5356
"Does uv actually install the package when it can't create hardlinks, or does it fail?",acf8fa5356
dotenv isn't recognized in my Python project — what package do I need to install?,0bed1f48da
"I keep getting a dotenv error, how do I add the right dependency with uv?",0bed1f48da
What's the correct package for using load_dotenv in Python?,0bed1f48da
How can I fix 'dotenv is not recognized' when working on the RAG module?,0bed1f48da
"After installing the dotenv package, how do I load the .env file in Python?",0bed1f48da
Can I do the course on my own machine instead of using Codespaces?,aa310de435
"Do I have to use Codespaces for Module 1, or can I set everything up locally?",aa310de435
What tools do I need if I want to run the RAG module on my laptop?,aa310de435
Is it okay to skip Codespaces as long as my local setup works?,aa310de435
"If I run the course locally, do I need to keep notes so others can reproduce my environment?",aa310de435
"If I don’t commit my work in Codespaces, is the code still saved anywhere or does it disappear?",610ccb23c0
Where exactly is my code stored when I’m working in GitHub Codespaces before I push anything?,610ccb23c0
"Do I really need to commit regularly in Codespaces, or is it safe to leave changes uncommitted?",610ccb23c0
"What happens to uncommitted code in Codespaces if the VM stops, disconnects, or gets deleted later?",610ccb23c0
How can I make sure my work in Codespaces isn’t lost if something happens to the environment?,610ccb23c0
Why does WSL2 say the model needs more memory even though my PC has enough RAM?,f3dd94f323
How do I increase the RAM available to WSL2 on Windows?,f3dd94f323
Where should I put the .wslconfig file to give WSL2 more memory?,f3dd94f323
"What should I write in .wslconfig to allocate, like, 8GB to WSL2?",f3dd94f323
